j,t,l, Inv, Inv_LB, shortage
A011, 23, Phase_II_D3_PAA5, 0, 0, 0
A011, 23, Phase_II_D1_PAA_3, 0, 0, 0
A011, 23, Phase_I_128_Staging_Location, 2.66667, 2, 0
A011, 23, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 23, Port_of_Belawan, 0, 0, 0
A011, 23, Banda_Aceh_Port, 22, 0, 0
A011, 24, Phase_I__II_Recon_Deep_Staging_Location, 1, 1, 0
A011, 24, Phase_II_Farp_2A, 0, 0, 0
A011, 24, Phase_I_313_Staging_Location, 0, 0, 0
A011, 24, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 24, Phase_II_D2_PAA4, 0, 0, 0
A011, 24, Phase_II_PAA2, 0, 0, 0
A011, 24, Sultan_Iskandar_Muda_Airport, 10, 0, 0
A011, 24, Medan_Air_Base, 0, 0, 0
A011, 24, Phase_I_328_Staging_Location, 0, 0, 0
A011, 24, Phase_II_D3_PAA5, 0, 0, 0
A011, 24, Phase_II_D1_PAA_3, 0, 0, 0
A011, 24, Phase_I_128_Staging_Location, 2, 2, 0
A011, 24, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 24, Port_of_Belawan, 0, 0, 0
A011, 24, Banda_Aceh_Port, 22, 0, 0
A011, 25, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 25, Phase_II_Farp_2A, 0, 0, 0
A011, 25, Phase_I_313_Staging_Location, 0, 0, 0
A011, 25, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 25, Phase_II_D2_PAA4, 3, 0, 0
A011, 25, Phase_II_PAA2, 0, 0, 0
A011, 25, Sultan_Iskandar_Muda_Airport, 10, 0, 0
A011, 25, Medan_Air_Base, 0, 0, 0
A011, 25, Phase_I_328_Staging_Location, 0, 0, 0
A011, 25, Phase_II_D3_PAA5, 0, 0, 0
A011, 25, Phase_II_D1_PAA_3, 0, 0, 0
A011, 25, Phase_I_128_Staging_Location, 2, 0, 0
A011, 25, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 25, Port_of_Belawan, 0, 0, 0
